dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
scifact,V7_BM25_tau055,0.6805,0.6805,0.7032,0.6352,0.6426,0.0907,0.0104,0.8367,0.8212,0.8989,0.9209,0.942,0.9603,0.9793,0.9133,0.9567,0.9767,0.9267,0.98,0.9796,51.02,53.76,55.16,51.22,17.22,132.45,5183,300,35.27,2631.45,5.67,0.0,0.6995,0.9067
scifact,V7_BM25_tau060,0.6799,0.6799,0.7037,0.6357,0.6427,0.0903,0.0104,0.8333,0.8178,0.8989,0.9209,0.942,0.9637,0.9793,0.9133,0.96,0.9767,0.9267,0.98,0.9796,47.39,50.87,52.74,46.83,22.73,113.72,5183,300,35.27,2646.33,5.67,0.0,0.7,0.9067
scifact,V7_BM25_tau065,0.6817,0.6817,0.7043,0.6361,0.6431,0.091,0.0104,0.8367,0.8231,0.8989,0.922,0.942,0.9637,0.9827,0.9167,0.96,0.98,0.9267,0.9833,0.9829,35.34,40.94,44.06,35.44,30.54,89.22,5183,300,35.27,2747.66,5.67,0.0,0.7003,0.9067
scifact,V7_BM25_tau070,0.6822,0.6822,0.7054,0.6376,0.6445,0.0907,0.0104,0.8367,0.8212,0.8939,0.922,0.942,0.967,0.9793,0.9167,0.9633,0.9767,0.9267,0.98,0.9796,27.48,30.91,33.62,27.72,40.09,73.2,5183,300,35.27,2850.31,5.67,0.0,0.7006,0.9
scifact,V7_BM25_tau075,0.6836,0.6836,0.7086,0.643,0.6493,0.0897,0.0104,0.83,0.8127,0.8989,0.9176,0.9387,0.9637,0.976,0.91,0.96,0.9733,0.9233,0.9767,0.9762,25.04,27.66,29.62,25.11,45.21,67.38,5183,300,35.27,2834.59,5.67,0.0,0.7052,0.9067
scifact,V7_DPH_tau055,0.6685,0.6685,0.6929,0.6258,0.6318,0.0883,0.0103,0.82,0.8009,0.8806,0.9112,0.9392,0.9603,0.976,0.9033,0.9567,0.9733,0.9167,0.9767,0.9762,51.13,53.48,55.43,51.38,20.57,122.87,5183,300,35.27,2878.89,5.67,0.0,0.6876,0.89
scifact,V7_DPH_tau060,0.6685,0.6685,0.6934,0.6259,0.6318,0.0883,0.0103,0.82,0.8009,0.8806,0.9146,0.9392,0.962,0.976,0.9067,0.96,0.9733,0.92,0.9767,0.9762,47.6,51.56,54.18,47.19,22.67,114.03,5183,300,35.27,2895.04,5.67,0.0,0.6877,0.89
scifact,V7_DPH_tau065,0.6696,0.6696,0.6941,0.6268,0.6328,0.0887,0.0103,0.82,0.802,0.8806,0.9146,0.9403,0.962,0.976,0.9067,0.96,0.9733,0.92,0.9767,0.9762,35.57,40.97,46.59,36.11,30.55,90.45,5183,300,35.27,2896.61,5.67,0.0,0.6883,0.89
scifact,V7_DPH_tau070,0.6755,0.6755,0.6994,0.6331,0.6407,0.089,0.0103,0.8233,0.8053,0.8856,0.9152,0.9392,0.9587,0.9793,0.9067,0.9567,0.9767,0.92,0.98,0.9796,27.58,30.46,33.63,27.76,40.6,73.34,5183,300,35.27,2899.99,5.67,0.0,0.6943,0.8933
scifact,V7_DPH_tau075,0.6765,0.6765,0.7014,0.6354,0.6434,0.0887,0.0103,0.82,0.8037,0.8789,0.9179,0.9392,0.957,0.976,0.91,0.9533,0.9733,0.9233,0.9767,0.9762,24.95,27.24,29.17,24.88,45.23,67.15,5183,300,35.27,2892.11,5.67,0.0,0.6947,0.89
nfcorpus,V7_BM25_tau055,0.3189,0.3201,0.2754,0.1439,0.5221,0.2313,0.0664,0.6904,0.1493,0.2179,0.2527,0.2969,0.3901,0.5178,0.0557,0.0712,0.1084,0.8111,0.9381,0.7978,46.29,49.9,52.46,43.44,23.66,107.44,3633,323,25.31,2952.56,4.83,0.0,0.2748,0.774
nfcorpus,V7_BM25_tau060,0.3212,0.3224,0.2799,0.1453,0.5265,0.2331,0.0677,0.7028,0.1519,0.2257,0.2607,0.3116,0.4146,0.5235,0.0557,0.0867,0.1084,0.8266,0.9319,0.7978,36.39,44.06,47.33,34.96,30.51,88.57,3633,323,25.31,2963.54,4.83,0.0,0.2788,0.7988
nfcorpus,V7_BM25_tau065,0.3233,0.3245,0.2842,0.1477,0.5303,0.2341,0.0686,0.7028,0.1521,0.23,0.2683,0.3166,0.4241,0.5256,0.0619,0.0929,0.1115,0.8173,0.9164,0.7908,28.32,34.07,38.07,26.1,43.78,66.28,3633,323,25.31,2944.88,4.83,0.0,0.2824,0.7864
nfcorpus,V7_BM25_tau070,0.324,0.3253,0.2862,0.1491,0.5311,0.2347,0.0701,0.6966,0.1525,0.23,0.2689,0.3203,0.4053,0.4877,0.0588,0.0805,0.0991,0.805,0.8824,0.7547,25.48,28.23,30.32,20.23,58.64,52.12,3633,323,25.31,2921.93,4.83,0.0,0.2835,0.7802
nfcorpus,V7_BM25_tau075,0.3205,0.3218,0.2799,0.146,0.5316,0.2313,0.0692,0.6966,0.1492,0.2253,0.2575,0.2982,0.3673,0.4181,0.0588,0.0774,0.0898,0.7988,0.8452,0.6928,14.18,25.04,27.18,14.4,84.02,36.88,3633,323,25.31,2924.12,4.83,0.0,0.2804,0.7802
nfcorpus,V7_DPH_tau055,0.3138,0.3154,0.2719,0.1416,0.5183,0.2241,0.0647,0.6811,0.1476,0.2171,0.248,0.2931,0.3971,0.5158,0.0557,0.0805,0.1084,0.8142,0.935,0.7985,45.96,49.48,51.88,43.22,24.39,106.25,3633,323,25.31,2982.71,4.83,0.0,0.2725,0.7709
nfcorpus,V7_DPH_tau060,0.3158,0.3174,0.2772,0.1429,0.5228,0.2251,0.0662,0.6904,0.15,0.2252,0.258,0.3075,0.4138,0.5262,0.0557,0.0836,0.1115,0.8266,0.935,0.8011,36.93,44.36,47.11,35.28,31.02,88.0,3633,323,25.31,2980.28,4.83,0.0,0.2768,0.7988
nfcorpus,V7_DPH_tau065,0.3175,0.3192,0.2795,0.144,0.5229,0.2276,0.0668,0.6935,0.1512,0.2275,0.2636,0.3132,0.4259,0.5283,0.0588,0.096,0.1115,0.8204,0.9195,0.7951,28.18,33.5,36.14,25.78,43.82,66.35,3633,323,25.31,2978.96,4.83,0.0,0.2783,0.7833
nfcorpus,V7_DPH_tau070,0.3209,0.3227,0.2829,0.1467,0.5288,0.23,0.0685,0.6935,0.1504,0.2276,0.2652,0.3153,0.4073,0.4887,0.0588,0.0836,0.0929,0.808,0.8854,0.7568,24.73,27.6,29.94,19.82,59.6,51.23,3633,323,25.31,2946.19,4.83,0.0,0.2808,0.7771
nfcorpus,V7_DPH_tau075,0.3162,0.3179,0.2775,0.1439,0.522,0.2269,0.0683,0.6904,0.1474,0.2234,0.2553,0.2959,0.3687,0.4196,0.0588,0.0774,0.0898,0.808,0.8483,0.6958,14.55,25.33,27.32,14.55,85.8,36.34,3633,323,25.31,2943.09,4.83,0.0,0.2776,0.7771
arguana,V7_BM25_tau055,0.3554,0.3554,0.4056,0.245,0.2332,0.0743,0.0096,0.7432,0.7432,0.941,0.9616,0.9765,0.9858,0.9915,0.9616,0.9858,0.9915,0.9616,0.9915,0.9915,64.25,71.32,82.65,65.0,15.69,129.68,8674,1406,33.09,3404.1,6.29,0.0,0.4022,0.941
arguana,V7_BM25_tau060,0.3542,0.3542,0.4054,0.2448,0.2327,0.074,0.0096,0.7397,0.7397,0.9417,0.9616,0.9772,0.9865,0.9915,0.9616,0.9865,0.9915,0.9616,0.9915,0.9915,63.58,70.07,81.4,64.13,16.36,126.34,8674,1406,33.09,3419.27,6.29,0.0,0.4021,0.9417
arguana,V7_BM25_tau065,0.3544,0.3544,0.4051,0.2445,0.2325,0.0741,0.0096,0.7411,0.7411,0.9417,0.9616,0.9751,0.9879,0.9915,0.9616,0.9879,0.9915,0.9616,0.9915,0.9915,60.93,69.69,81.62,61.86,17.47,120.78,8674,1406,33.09,3420.43,6.29,0.0,0.4019,0.9417
arguana,V7_BM25_tau070,0.3536,0.3536,0.4048,0.244,0.2319,0.074,0.0096,0.7397,0.7397,0.9403,0.9623,0.9758,0.9879,0.99,0.9623,0.9879,0.99,0.9623,0.99,0.99,49.74,60.05,71.73,50.66,21.2,102.64,8674,1406,33.09,3420.32,6.29,0.0,0.4013,0.9403
arguana,V7_BM25_tau075,0.3544,0.3544,0.4058,0.2448,0.2327,0.074,0.0096,0.7404,0.7404,0.9395,0.9644,0.9765,0.9879,0.9915,0.9644,0.9879,0.9915,0.9644,0.9915,0.9915,40.16,49.16,60.47,41.26,26.23,86.93,8674,1406,33.09,3424.59,6.29,0.0,0.4018,0.9395
arguana,V7_DPH_tau055,0.3115,0.3115,0.3732,0.2139,0.2001,0.0668,0.0094,0.6679,0.6679,0.9097,0.9438,0.963,0.9801,0.9872,0.9438,0.9801,0.9872,0.9438,0.9872,0.9872,64.5,71.58,81.53,65.32,16.08,128.46,8674,1406,33.09,3421.81,6.29,0.0,0.3676,0.9097
arguana,V7_DPH_tau060,0.3111,0.3111,0.3727,0.2134,0.1996,0.0668,0.0094,0.6679,0.6679,0.909,0.9438,0.963,0.9808,0.9872,0.9438,0.9808,0.9872,0.9438,0.9872,0.9872,64.59,72.47,81.99,65.4,16.23,127.71,8674,1406,33.09,3426.07,6.29,0.0,0.367,0.909
arguana,V7_DPH_tau065,0.31,0.31,0.3722,0.2127,0.1988,0.0666,0.0094,0.6657,0.6657,0.909,0.9438,0.963,0.9801,0.9886,0.9438,0.9801,0.9886,0.9438,0.9886,0.9886,60.31,68.85,78.66,60.92,17.21,121.23,8674,1406,33.09,3421.86,6.29,0.0,0.3664,0.909
arguana,V7_DPH_tau070,0.3104,0.3104,0.3721,0.2125,0.1988,0.0668,0.0094,0.6679,0.6679,0.9083,0.9445,0.963,0.9801,0.9879,0.9445,0.9801,0.9879,0.9445,0.9879,0.9879,49.04,59.53,70.98,50.1,21.24,101.85,8674,1406,33.09,3420.94,6.29,0.0,0.3661,0.9083
arguana,V7_DPH_tau075,0.3101,0.3101,0.3729,0.213,0.199,0.0666,0.0095,0.6657,0.6657,0.9132,0.9467,0.963,0.9808,0.9893,0.9467,0.9808,0.9893,0.9467,0.9893,0.9893,40.07,49.09,60.29,41.07,26.27,86.15,8674,1406,33.09,3417.84,6.29,0.0,0.3675,0.9132
bright_theoremqa_theorems,V7_BM25_tau055,0.0223,0.0223,0.0374,0.0154,0.0246,0.0066,0.0018,0.0658,0.0395,0.0811,0.1118,0.1535,0.2379,0.3289,0.0658,0.1974,0.2632,0.1579,0.4079,0.3465,49.01,52.26,54.11,49.3,19.0,137.98,23839,76,27.55,3260.69,6.92,0.0,0.0319,0.1184
bright_theoremqa_theorems,V7_BM25_tau060,0.0223,0.0223,0.0374,0.0154,0.0246,0.0066,0.0018,0.0658,0.0395,0.0811,0.1118,0.1469,0.2379,0.3257,0.0658,0.1974,0.2632,0.1579,0.3947,0.3413,47.56,50.65,54.01,47.53,22.19,130.06,23839,76,27.55,3250.2,6.92,0.0,0.0319,0.1184
bright_theoremqa_theorems,V7_BM25_tau065,0.0196,0.0196,0.0347,0.0124,0.0182,0.0066,0.0018,0.0658,0.0395,0.0811,0.1118,0.1469,0.2379,0.3322,0.0658,0.1974,0.2763,0.1579,0.3947,0.3464,40.97,45.21,48.44,40.66,26.44,110.95,23839,76,27.55,3251.22,6.92,0.0,0.0291,0.1184
bright_theoremqa_theorems,V7_BM25_tau070,0.0198,0.0198,0.0352,0.0128,0.0185,0.0066,0.0018,0.0658,0.0395,0.0811,0.1118,0.1535,0.2445,0.3257,0.0658,0.1974,0.2632,0.1579,0.3947,0.3413,28.42,34.82,36.13,29.07,37.99,85.21,23839,76,27.55,3251.49,6.92,0.0,0.0296,0.1184
bright_theoremqa_theorems,V7_BM25_tau075,0.0225,0.0225,0.0368,0.0158,0.0249,0.0066,0.0017,0.0658,0.0395,0.0811,0.1053,0.1469,0.2445,0.3333,0.0658,0.1974,0.2632,0.1447,0.4211,0.3526,21.67,24.82,26.8,21.76,51.62,66.48,23839,76,27.55,3252.07,6.92,0.0,0.0324,0.1184
bright_theoremqa_theorems,V7_DPH_tau055,0.0248,0.0248,0.0386,0.0196,0.0307,0.0066,0.0017,0.0526,0.0329,0.0548,0.0965,0.1425,0.1992,0.3275,0.0526,0.1316,0.25,0.1447,0.4342,0.3499,49.53,52.39,55.41,49.82,21.23,135.05,23839,76,27.55,3252.0,6.92,0.0,0.031,0.0921
bright_theoremqa_theorems,V7_DPH_tau060,0.0248,0.0248,0.0386,0.0195,0.0307,0.0066,0.0017,0.0526,0.0329,0.068,0.0965,0.1425,0.2058,0.3341,0.0526,0.1316,0.25,0.1447,0.4474,0.358,48.74,52.2,54.18,48.75,21.98,129.97,23839,76,27.55,3252.13,6.92,0.0,0.0333,0.1053
bright_theoremqa_theorems,V7_DPH_tau065,0.0248,0.0248,0.0386,0.0196,0.0307,0.0066,0.0017,0.0526,0.0329,0.068,0.0965,0.1425,0.1992,0.3341,0.0526,0.1316,0.25,0.1447,0.4474,0.358,41.29,45.57,47.97,41.03,25.92,114.07,23839,76,27.55,3251.4,6.92,0.0,0.0333,0.1053
bright_theoremqa_theorems,V7_DPH_tau070,0.025,0.025,0.039,0.02,0.0307,0.0066,0.0017,0.0526,0.0329,0.068,0.0965,0.1425,0.1992,0.3341,0.0526,0.1316,0.2632,0.1447,0.4342,0.355,29.24,34.72,38.83,29.62,37.63,84.34,23839,76,27.55,3250.43,6.92,0.0,0.0336,0.1053
bright_theoremqa_theorems,V7_DPH_tau075,0.025,0.025,0.0388,0.0199,0.0307,0.0066,0.0017,0.0526,0.0329,0.068,0.0965,0.1425,0.2058,0.3407,0.0526,0.1316,0.2632,0.1447,0.4474,0.3631,21.75,24.68,27.7,21.87,51.29,68.75,23839,76,27.55,3250.32,6.92,0.0,0.0335,0.1053
scidocs,V7_BM25_tau055,0.1509,0.1509,0.2159,0.1026,0.2623,0.0785,0.0173,0.483,0.1591,0.2871,0.3511,0.4192,0.5035,0.5622,0.052,0.12,0.154,0.773,0.929,0.6541,62.22,65.26,68.2,62.45,16.43,143.35,25657,1000,80.29,3429.27,7.55,0.0,0.1984,0.693
scidocs,V7_BM25_tau060,0.1511,0.1511,0.2162,0.1027,0.2626,0.0786,0.0173,0.485,0.1593,0.2873,0.3517,0.4193,0.5039,0.5642,0.053,0.12,0.155,0.772,0.932,0.6564,59.13,63.24,66.51,58.47,18.24,133.39,25657,1000,80.29,3449.98,7.55,0.0,0.1986,0.694
scidocs,V7_BM25_tau065,0.151,0.151,0.2164,0.1027,0.2621,0.0786,0.0174,0.487,0.1593,0.2871,0.3531,0.4208,0.5039,0.5652,0.053,0.119,0.157,0.775,0.93,0.6568,42.16,48.97,54.25,42.2,25.65,100.62,25657,1000,80.29,3452.67,7.55,0.0,0.1984,0.696
scidocs,V7_BM25_tau070,0.1509,0.1509,0.2165,0.1025,0.2617,0.0787,0.0174,0.485,0.1596,0.2868,0.3542,0.4244,0.5058,0.5665,0.055,0.122,0.157,0.774,0.931,0.6581,29.52,33.1,36.53,29.7,37.88,75.13,25657,1000,80.29,3440.34,7.55,0.0,0.1981,0.694
scidocs,V7_BM25_tau075,0.1512,0.1512,0.216,0.1021,0.2609,0.0793,0.0174,0.487,0.1607,0.2885,0.3532,0.4226,0.5063,0.5651,0.053,0.122,0.155,0.769,0.928,0.6563,26.36,28.74,31.25,26.56,42.14,69.54,25657,1000,80.29,3443.61,7.55,0.0,0.1983,0.696
scidocs,V7_DPH_tau055,0.1443,0.1443,0.207,0.0969,0.2511,0.076,0.0167,0.48,0.1541,0.2784,0.339,0.4058,0.4923,0.5605,0.043,0.109,0.154,0.764,0.934,0.6536,62.44,65.12,67.47,62.61,16.6,143.16,25657,1000,80.29,3454.08,7.55,0.0,0.1904,0.685
scidocs,V7_DPH_tau060,0.1445,0.1445,0.2072,0.0969,0.2512,0.0761,0.0167,0.48,0.1543,0.2784,0.3396,0.4054,0.4931,0.5611,0.043,0.109,0.155,0.765,0.935,0.6543,58.54,62.48,66.84,57.96,18.28,132.46,25657,1000,80.29,3450.73,7.55,0.0,0.1904,0.685
scidocs,V7_DPH_tau065,0.1442,0.1442,0.2068,0.0967,0.25,0.0762,0.0167,0.484,0.1545,0.2784,0.3396,0.4048,0.4943,0.5609,0.044,0.111,0.154,0.764,0.937,0.6545,41.98,49.05,52.82,41.89,25.75,100.11,25657,1000,80.29,3448.83,7.55,0.0,0.1901,0.686
scidocs,V7_DPH_tau070,0.1435,0.1435,0.2069,0.0962,0.2482,0.0761,0.0168,0.484,0.1543,0.279,0.3418,0.4098,0.495,0.5627,0.044,0.111,0.155,0.766,0.937,0.6561,29.18,32.71,35.91,29.39,37.25,75.31,25657,1000,80.29,3448.19,7.55,0.0,0.1897,0.683
scidocs,V7_DPH_tau075,0.1448,0.1448,0.2074,0.0967,0.2497,0.0769,0.0168,0.482,0.1559,0.2797,0.3416,0.4099,0.4953,0.5624,0.043,0.109,0.154,0.766,0.933,0.6552,26.13,28.52,30.99,26.33,42.93,68.34,25657,1000,80.29,3450.61,7.55,0.0,0.1905,0.694
bright_economics,V7_BM25_tau055,0.1124,0.1124,0.1733,0.0861,0.1293,0.0544,0.025,0.2718,0.122,0.2848,0.3697,0.4865,0.5963,0.6972,0.1942,0.3689,0.4563,0.5825,0.8447,0.7641,79.25,87.1,92.36,80.27,10.68,214.64,50220,103,180.03,3343.07,9.44,0.0,0.1497,0.4951
bright_economics,V7_BM25_tau060,0.1123,0.1123,0.1743,0.086,0.1301,0.0544,0.025,0.2718,0.122,0.2851,0.3784,0.4863,0.5976,0.6982,0.2039,0.3689,0.4563,0.5922,0.8447,0.7648,78.32,85.0,92.42,79.09,13.44,195.48,50220,103,180.03,3314.54,9.44,0.0,0.1499,0.4951
bright_economics,V7_BM25_tau065,0.1134,0.1134,0.1761,0.0865,0.131,0.0553,0.0253,0.2718,0.1223,0.2855,0.3835,0.4858,0.5998,0.699,0.2039,0.3689,0.4563,0.5922,0.8447,0.7657,69.85,81.86,87.35,70.89,15.15,176.27,50220,103,180.03,3314.15,9.44,0.0,0.1504,0.4951
bright_economics,V7_BM25_tau070,0.1129,0.1129,0.1759,0.0871,0.131,0.0544,0.0252,0.2718,0.122,0.2835,0.3827,0.4849,0.6004,0.6973,0.2039,0.3689,0.4563,0.5922,0.835,0.7626,51.67,65.92,74.84,53.88,19.8,137.92,50220,103,180.03,3312.43,9.44,0.0,0.1502,0.4854
bright_economics,V7_BM25_tau075,0.1117,0.1117,0.1758,0.0868,0.1293,0.0534,0.0254,0.2621,0.1205,0.2845,0.381,0.4854,0.5981,0.6987,0.2039,0.3689,0.466,0.5922,0.8447,0.765,41.54,50.98,59.27,43.19,24.91,114.9,50220,103,180.03,3309.67,9.44,0.0,0.1501,0.4854
bright_economics,V7_DPH_tau055,0.1581,0.1581,0.2241,0.1177,0.1999,0.0767,0.0283,0.3689,0.1607,0.3464,0.4551,0.516,0.6404,0.7234,0.2621,0.4369,0.5049,0.6602,0.8835,0.7916,80.31,86.27,92.42,81.1,13.0,200.68,50220,103,180.03,3312.13,9.44,0.0,0.1981,0.5631
bright_economics,V7_DPH_tau060,0.1589,0.1589,0.2245,0.118,0.2002,0.0777,0.0283,0.3689,0.1611,0.3464,0.4553,0.516,0.642,0.7232,0.2621,0.4369,0.5049,0.6602,0.8835,0.7916,79.27,87.07,95.06,80.07,13.27,197.57,50220,103,180.03,3314.05,9.44,0.0,0.1984,0.5631
bright_economics,V7_DPH_tau065,0.1582,0.1582,0.2245,0.1179,0.2002,0.0767,0.0283,0.3689,0.1607,0.3561,0.4553,0.517,0.642,0.7344,0.2621,0.4369,0.5146,0.6602,0.8932,0.8026,70.32,81.71,88.9,71.55,14.89,176.9,50220,103,180.03,3319.52,9.44,0.0,0.2001,0.5728
bright_economics,V7_DPH_tau070,0.1643,0.1643,0.2302,0.1253,0.2092,0.0777,0.0283,0.3689,0.1611,0.3548,0.4553,0.5177,0.6419,0.7442,0.2621,0.4369,0.5243,0.6602,0.9029,0.811,53.81,66.87,76.18,55.11,19.66,140.98,50220,103,180.03,3311.45,9.44,0.0,0.2056,0.5728
bright_economics,V7_DPH_tau075,0.1633,0.1633,0.2293,0.1249,0.2085,0.0767,0.0283,0.3689,0.1606,0.3511,0.4539,0.5128,0.6472,0.7315,0.2621,0.4369,0.5146,0.6602,0.8738,0.7959,42.26,52.78,62.02,43.75,24.57,116.1,50220,103,180.03,3314.73,9.44,0.0,0.2047,0.5631
bright_psychology,V7_BM25_tau055,0.0936,0.0936,0.1481,0.073,0.1039,0.0446,0.014,0.2277,0.1408,0.2728,0.3441,0.4105,0.533,0.64,0.2574,0.3564,0.4356,0.5248,0.8119,0.7147,79.33,85.63,90.84,80.17,10.66,214.91,52835,101,202.29,3325.39,9.87,0.0,0.1327,0.4356
bright_psychology,V7_BM25_tau060,0.0957,0.0957,0.1498,0.0748,0.1067,0.0455,0.0141,0.2376,0.1415,0.2728,0.3443,0.4105,0.533,0.6403,0.2574,0.3564,0.4356,0.5248,0.8119,0.7158,77.61,85.15,91.72,78.87,13.3,195.99,52835,101,202.29,3327.34,9.87,0.0,0.1342,0.4356
bright_psychology,V7_BM25_tau065,0.098,0.098,0.1513,0.0765,0.109,0.0465,0.0142,0.2475,0.144,0.2728,0.3446,0.4151,0.5307,0.6406,0.2574,0.3465,0.4356,0.5248,0.8119,0.7142,70.35,79.99,87.7,70.6,15.0,176.73,52835,101,202.29,3329.32,9.87,0.0,0.1355,0.4356
bright_psychology,V7_BM25_tau070,0.0931,0.0931,0.1501,0.0752,0.1062,0.0446,0.0141,0.2277,0.1316,0.2721,0.3443,0.4183,0.5313,0.6413,0.2574,0.3465,0.4356,0.5248,0.8119,0.7159,53.3,65.27,76.56,54.29,19.76,137.95,52835,101,202.29,3328.55,9.87,0.0,0.134,0.4356
bright_psychology,V7_BM25_tau075,0.0871,0.0871,0.1493,0.0742,0.1047,0.0426,0.0142,0.2079,0.1118,0.2959,0.346,0.4065,0.5378,0.6516,0.2574,0.3564,0.4455,0.5248,0.8218,0.7232,41.85,49.29,58.51,43.05,25.14,114.36,52835,101,202.29,3333.16,9.87,0.0,0.1372,0.4554
bright_psychology,V7_DPH_tau055,0.1772,0.1772,0.2243,0.1311,0.2129,0.0842,0.0175,0.3861,0.2303,0.3473,0.435,0.4975,0.5993,0.696,0.3069,0.4059,0.495,0.6436,0.8614,0.7684,80.19,87.49,94.94,81.37,13.06,200.57,52835,101,202.29,3325.2,9.87,0.0,0.2037,0.5248
bright_psychology,V7_DPH_tau060,0.1754,0.1754,0.224,0.1305,0.2124,0.0832,0.0176,0.3861,0.227,0.3469,0.4353,0.498,0.5993,0.6974,0.3069,0.4059,0.495,0.6436,0.8614,0.7693,79.63,87.1,95.9,80.62,13.09,199.4,52835,101,202.29,3325.86,9.87,0.0,0.2031,0.5248
bright_psychology,V7_DPH_tau065,0.176,0.176,0.2249,0.1317,0.2134,0.0832,0.0176,0.3861,0.227,0.3438,0.4353,0.4986,0.6003,0.699,0.3069,0.4059,0.505,0.6436,0.8614,0.7704,71.97,81.65,88.22,71.54,14.71,177.83,52835,101,202.29,3327.92,9.87,0.0,0.2032,0.5248
bright_psychology,V7_DPH_tau070,0.1735,0.1735,0.2284,0.1332,0.2195,0.0802,0.0181,0.3762,0.215,0.3469,0.4417,0.4993,0.6111,0.7083,0.3069,0.4158,0.5149,0.6535,0.8911,0.7825,54.4,66.8,75.96,55.35,19.45,141.73,52835,101,202.29,3326.89,9.87,0.0,0.2059,0.5248
